date;title;artist;danceability
2018-06-21;4th Dimension;Kanye West and Kid Cudi;unknown
2018-06-21;All Girls Are The Same;Juice WRLD;671
2018-06-21;All Mine;Kanye West;925
2018-06-21;Alone;Halsey Featuring Big Sean & Stefflon Don;unknown
2018-06-21;Babe;Sugarland Featuring Taylor Swift;unknown
2018-06-21;Back To You;Selena Gomez;601
2018-06-21;Ball For Me;Post Malone Featuring Nicki Minaj;unknown
2018-06-21;Be Careful;Cardi B;0.82
2018-06-21;Beautiful Crazy;Luke Combs;552
2018-06-21;Better Now;Post Malone;0.68
2018-06-21;Big Bank;YG Featuring 2 Chainz, Big Sean & Nicki Minaj;unknown
2018-06-21;Boo'd Up;Ella Mai;561
2018-06-21;Call Out My Name;The Weeknd;449
2018-06-21;Chun-Li;Nicki Minaj;643
2018-06-21;Cudi Montage;KIDS SEE GHOSTS;729
2018-06-21;Dame Tu Cosita;El Chombo Featuring Cutty Ranks;unknown
2018-06-21;Delicate;Taylor Swift;0.75
2018-06-21;Done For Me;Charlie Puth Featuring Kehlani;unknown
2018-06-21;Drip;Cardi B Featuring Migos;unknown
2018-06-21;Dura;Daddy Yankee;772
2018-06-21;El Farsante;Ozuna & Romeo Santos;unknown
2018-06-21;Esskeetit;Lil Pump;932
2018-06-21;Everything's Gonna Be Alright;David Lee Murphy & Kenny Chesney;743
2018-06-21;Fake Love;BTS;557
2018-06-21;Feel The Love;KIDS SEE GHOSTS;0.58
2018-06-21;Fire;KIDS SEE GHOSTS;709
2018-06-21;Freaky Friday;Lil Dicky Featuring Chris Brown;unknown
2018-06-21;Freeee (Ghost Town, Pt. 2);KIDS SEE GHOSTS;334
2018-06-21;Friends;Marshmello & Anne-Marie;626
2018-06-21;Get Along;Kenny Chesney;602
2018-06-21;Ghost Town;Kanye West Featuring PARTYNEXTDOOR;unknown
2018-06-21;Girls Like You;Maroon 5 Featuring Cardi B;unknown
2018-06-21;God's Plan;Drake;754
2018-06-21;Havana;Camila Cabello Featuring Young Thug;unknown
2018-06-21;Heaven;Kane Brown;677
2018-06-21;I Know You;Lil Skies Featuring Yung Pinch;unknown
2018-06-21;I Like It;Cardi B, Bad Bunny & J Balvin;872
2018-06-21;I Like Me Better;Lauv;752
2018-06-21;I Lived It;Blake Shelton;557
2018-06-21;I Was Jack (You Were Diane);Jake Owen;612
2018-06-21;I'm Upset;Drake;899
2018-06-21;IDGAF;Dua Lipa;836
2018-06-21;In My Blood;Shawn Mendes;618
2018-06-21;Japan;Famous Dex;733
2018-06-21;KIDS SEE GHOSTS;KIDS SEE GHOSTS;585
2018-06-21;KOD;J. Cole;831
2018-06-21;Life Goes On;Lil Baby Featuring Gunna & Lil Uzi Vert;unknown
2018-06-21;Look Alive;BlocBoy JB Featuring Drake;unknown
