OrderKlant,X,Y,postcode,,vertegenwoordiger
IPL BUSINESS SA,50.668941,4.385852,1420,braine l'alleud,nape
DEROANNE SA,50.655517,5.503264,4000,luik,sebi
RICOH BELGIUM NV,50.915317,4.400411,1800,vilvoorde,stva
TECHNO BURO,50.848755,4.357332,1000,brussel,sebi
INTEROFFICE BVBA,50.769352,5.465835,3700,tongeren,stva
DESSAUVAGE GEERT NV,50.91651,3.193434,8870,izegem,joha
PAPETERIE HARDUIN X.&E.SPRL,50.721555,3.233266,7712,herseaux,nape
DRUKKERIJ STROBBE BVBA,50.906524,3.220467,8800,roeselare,joha
IB OFFICE NV,50.862343,3.270947,8520,kuurne,joha
BUROMAS BVBA,51.191534,5.245885,2490,balen,heco
D&O PARTNERS SA,50.819007,4.392555,1000,brussel,sebi
JEAN PHILIPPE ROTTY,50.521359,4.589957,5140,ligny,nape
DELEYE SNELDRUK BVBA,50.850889,2.876861,8900,ieper,joha
ARVA-BURO NV,50.926079,4.437207,1800,vilvoorde,joha
DUROVAN SCRL,50.364565,4.555364,6040,jumet (charleroi,nape
KWARTO NV,50.816668,3.207363,8800,roeselare,joha
TRANSFERT NV,51.124296,4.460517,2550,kontich,joha
AVA PAPIERWAREN NV,51.140697,4.177199,9140,temse,joha
PANDAVA NV,51.312257,4.397295,2940,stabroek,joha
BMT SPRL,50.820069,4.360281,1050,brussel,sebi
OFFINT NV,50.987468,5.055296,3290,diest,heco
ALL-BURO SOLUTIONS BVBA,51.148516,2.949648,8470,gistel,joha
BURO-CENTER VAN DER BRACHT BVBA,50.830333,3.933841,9400,voorde,joha
C.P.R.B. SCRL,50.714658,4.857925,1370,jodoigne,sebi
EASY DESK NV,51.080026,3.300738,8750,wingene,joha
MARSIVAL-DUBOCCAGE BVBA,50.834827,3.212562,8560,gullegem,joha
OFFICE PLUS NV,50.91712,5.491216,3600,genk,heco
MOBITAL BVBA,51.137833,5.606056,3960,bree,heco
KANTORO BVBA,50.810152,4.936894,3300,tienen,heco
PAMAR BVBA,50.852415,3.352466,8560,deerlijk,joha
ARPACA SC,50.482535,3.951747,7020,nimy (mons),nape
EFFECTIVE OFFICE SOLUTIONS SPRL,50.648951,4.374352,1380,lillois witterzée,sebi
LIBRAIRIE QUATRE COULEURS,50.53224,5.815699,4910,theux,sebi
KANTOORSUPPLIES BVBA,51.159446,4.157644,9100,sint-niklaas,joha
DENIS KERGER SPRL,49.85426,5.435393,6840,neufchateau,nape
MARÉCHAL NV,51.208507,3.224733,8310,sint-kruis,joha
MARCELIS BVBA - PAPIER- & KANTOORHANDEL,50.734385,4.233421,1500,halle,joha
BUROR SPRL,50.193969,4.535922,5600,philippeville,nape
PAPIERSTAD BVBA,51.212516,5.389741,3900,overpelt,heco
DAVIN SA,50.425413,4.4757,6060,gilly,nape
ROMBOUTS-NEYRINCK,51.2245,4.414528,2000,antwerpen,joha
LIVA BVBA,50.957505,4.042001,3900,aalst,joha
JULIEN DU FOSSÉ BVBA,51.196218,3.329703,8340,sijsele,joha
COPY PRINT,50.45301,3.925248,7301,hornu mons,nape
A-Z BUREAU SERVICE SPRL,50.614288,4.133973,7090,braine le compte,sebi
SOFLIECOM BVBA,50.86725,3.808826,9620,zottegem,joha
WEGNEZ & FILS SPRL,50.583352,5.259179,1080,bruxelles et villers le bouillet,sebi
MATTCO,50.612381,3.391219,7500,tournai,nape
